,peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,location,region,latitude,longitude
0,AMAD,Ama Dablam,Amai Dablang,6814,Climbed,1961.0,"New Zealand, USA, UK",AMAD61101,Khumbu,Khumbu-Rolwaling-Makalu,27.8621001,86.8604289
1,AMPG,Amphu Gyabjen,Unknown,5630,Climbed,1953.0,UK,AMPG53101,Khumbu,Khumbu-Rolwaling-Makalu,27.8812212,86.8687897
2,ANN1,Annapurna I,Unknown,8091,Climbed,1950.0,France,ANN150101,Annapurna,Annapurna-Damodar-Peri,28.5958063,83.8199199
3,ANN2,Annapurna II,Unknown,7937,Climbed,1960.0,"UK, Nepal",ANN260101,Annapurna,Annapurna-Damodar-Peri,45.9193991,6.8657575
4,ANN3,Annapurna III,Unknown,7555,Climbed,1961.0,India,ANN361101,Annapurna,Annapurna-Damodar-Peri,28.5853509,83.9891091
5,ANN4,Annapurna IV,Unknown,7525,Climbed,1955.0,W Germany,ANN455101,Annapurna,Annapurna-Damodar-Peri,28.5368932,84.0835623
6,ANNE,Annapurna I East,Unknown,8026,Climbed,1974.0,Spain,ANNE74101,Annapurna,Annapurna-Damodar-Peri,51.5640387,-1.7519405
7,ANNM,Annapurna I Middle,Unknown,8051,Climbed,1980.0,W Germany,ANNM80301,Annapurna,Annapurna-Damodar-Peri,,
8,ANNS,Annapurna South,"Annapurna Dakshin, Moditse",7219,Climbed,1964.0,"Japan, Nepal",ANNS64301,Annapurna,Annapurna-Damodar-Peri,28.5183959,83.8063433
9,APIM,Api Main,Unknown,7132,Climbed,1960.0,"Japan, Nepal",APIM60101,Api/Byas Risi/Guras,Far West-Kanjiroba,47.5603035,-1.025273378651685
10,APIW,Api West,Unknown,7076,Unclimbed,,Unknown,Unknown,Api/Byas Risi/Guras,Far West-Kanjiroba,1.3324349,103.63288815976227
11,BARU,Baruntse,Unknown,7152,Climbed,1954.0,New Zealand,BARU54101,Khumbu,Khumbu-Rolwaling-Makalu,27.8720615,86.9796489
12,BAUD,Baudha,Unknown,6672,Climbed,1970.0,Japan,BAUD70101,Manaslu/Mansiri,Manaslu-Ganesh,27.7205626,85.3617188
13,BHEM,Bhemdang Ri,Morimoto,6150,Climbed,1964.0,"Japan, Nepal",BHEM64101,Langtang,Langtang-Jugal,28.2721381,85.6635329
14,BHRI,Bhrikuti,Damodar Himal,6476,Climbed,1982.0,"Japan, Nepal",BHRI82101,Damodar,Annapurna-Damodar-Peri,27.6307699,83.4769766
15,BOBA,Bobaye,Unknown,6808,Climbed,1996.0,Slovenia,BOBA96301,Api/Byas Risi/Guras,Far West-Kanjiroba,10.4330167,21.27055
16,CHAM,Chamlang,Unknown,7321,Climbed,1962.0,"Japan, Nepal",CHAM62101,Khumbu,Khumbu-Rolwaling-Makalu,27.7769937,86.9810557
17,CHAN,Changla,Changla Himal,6563,Climbed,2010.0,Japan,CHAN10301,Nalakankar/Chandi/Changla,Far West-Kanjiroba,24.45932835,73.49460664228269
18,CHMN,Chamar North,Peak 23,7165,Climbed,1953.0,"New Zealand, Nepal",CHMN53101,Ganesh/Shringi,Manaslu-Ganesh,35.4623305,-80.6827327
19,CHEO,Cheo Himal,Unknown,6820,Climbed,1991.0,"Japan, Nepal",CHEO91301,Peri,Annapurna-Damodar-Peri,,
20,CHOY,Cho Oyu,Unknown,8188,Climbed,1954.0,"Austria, Nepal",CHOY54301,Khumbu,Khumbu-Rolwaling-Makalu,28.0967465,86.659634
21,CHOB,Chobuje,"Chobutse, Tsoboje",6686,Climbed,1972.0,W Germany,CHOB72101,Rolwaling,Khumbu-Rolwaling-Makalu,27.8814373,86.4892244
22,CHOL,Cholatse,"Tsolatse, Jobo Lhaptshan",6423,Climbed,1982.0,"USA, UK",CHOL82101,Khumbu,Khumbu-Rolwaling-Makalu,27.9196156,86.7651758
23,CHOP,Cho Polu,Unknown,6700,Climbed,1984.0,Spain,CHOP84301,Khumbu,Khumbu-Rolwaling-Makalu,27.9194539,86.9819868
